step,equity
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,100000.0
55,100000.0
56,100000.0
57,100000.0
58,100000.0
59,100000.0
60,100000.0
61,100000.0
62,100000.0
63,100000.0
64,100000.0
65,100000.0
66,100000.0
67,100000.0
68,100000.0
69,100000.0
70,100000.0
71,100000.0
72,100000.0
73,100000.0
74,100000.0
75,100000.0
76,100000.0
77,100000.0
78,100000.0
79,100000.0
80,100000.0
81,100000.0
82,100000.0
83,100000.0
84,100000.0
85,100000.0
86,100000.0
87,100000.0
88,100000.0
89,100000.0
90,100000.0
91,100000.0
92,100000.0
93,100000.0
94,100000.0
95,100000.0
96,100000.0
97,100000.0
98,100000.0
99,100000.0
100,100000.0
101,100000.0
102,100000.0
103,100000.0
104,100000.0
105,100000.0
106,100000.0
107,100000.0
108,100000.0
109,100000.0
110,100000.0
111,100000.0
112,100000.0
113,100000.0
114,100000.0
115,100000.0
116,100000.0
117,100000.0
118,100000.0
119,100000.0
120,100000.0
121,100000.0
122,100000.0
123,100000.0
124,100000.0
125,100000.0
126,100000.0
127,100000.0
128,100000.0
129,100000.0
130,100000.0
131,100000.0
132,100000.0
133,100000.0
134,100000.0
135,100000.0
136,100000.0
137,100000.0
138,100000.0
139,100000.0
140,100000.0
141,100000.0
142,100000.0
143,100000.0
144,100000.0
145,100000.0
146,100000.0
147,100000.0
148,100000.0
149,100000.0
150,100000.0
151,100000.0
152,100000.0
153,100000.0
154,100000.0
155,100000.0
156,100000.0
157,100000.0
158,100000.0
159,100000.0
160,100000.0
161,100000.0
162,100000.0
163,100000.0
164,100000.0
165,100000.0
166,100000.0
167,100000.0
168,100000.0
169,100000.0
170,100000.0
171,100000.0
172,100000.0
173,100000.0
174,100000.0
175,100000.0
176,100000.0
177,100000.0
178,100000.0
179,100000.0
180,100000.0
181,100000.0
182,100000.0
183,100000.0
184,100000.0
185,100000.0
186,100000.0
187,100000.0
188,100000.0
189,100000.0
190,100000.0
191,100000.0
192,100000.0
193,100000.0
194,100000.0
195,100000.0
196,100000.0
197,100000.0
198,100000.0
199,100000.0
200,100000.0
201,99900.0
202,99898.02646425627
203,99891.15770180905
204,99888.66075006372
205,99873.39588011542
206,99885.50309287374
207,99882.91604493141
208,99881.13557246694
209,99882.22959771618
210,99885.5331249394
211,99894.65429231153
212,99891.92566463107
213,99901.09402524924
214,99907.20769575973
215,99908.91523320758
216,99902.48837115514
217,99893.70613709552
218,99898.36539756878
219,99903.08043187826
220,99897.07401874516
221,99895.44799690413
222,99895.3836424777
223,99897.39579087729
224,99898.43833258539
225,99909.74755045601
226,99914.98171047201
227,99912.2831148572
228,99911.06038075511
229,99918.22517356389
230,99916.63776437871
231,99916.81366647761
232,99917.67172549662
233,99916.46186227982
234,99914.4711653557
235,99913.82762109143
236,99910.46402973689
237,99907.37501726844
238,99905.3113853277
239,99907.45653287525
240,99907.43508139977
241,99904.14013476676
242,99901.96924544864
243,99902.82730446766
244,99900.1673215087
245,99904.73219548987
246,99900.85376872391
247,99895.22919185428
248,99895.6496407736
249,99895.95425172534
250,99893.90778096499
251,99896.54202215337
252,99896.44763566127
253,99894.92887119763
254,99893.38865525849
255,99901.45441003723
256,99897.33572674595
257,99895.27209480523
258,99895.93280024987
259,99900.42473921442
260,99918.88158871344
261,99915.74109270384
262,99908.66210579696
263,99901.80192393993
264,99903.71110525724
265,99902.57417705705
266,99904.65497017816
267,99908.46904251768
268,99915.15332227582
269,99910.03500022739
270,99908.83800789586
271,99909.57593865221
272,99913.83191138653
273,99926.16221948978
274,99923.93126604034
275,99936.94802135881
276,99931.65379721147
277,99931.05744619327
278,99941.09244642065
279,99951.46637996055
280,99952.37163222561
281,99941.61157212715
282,99937.32127703208
283,99929.73603530398
284,99931.34489596463
285,99930.46538547015
286,99924.61771325555
287,99928.65488094003
288,99926.79289286876
289,99921.08251009721
290,99924.27877994304
291,99915.6938994578
292,99920.16009665177
293,99919.55945533846
294,99918.35817271183
295,99918.93736254967
296,99916.7235702806
297,99912.48904902177
298,99918.51691363036
299,99919.73535743736
300,99912.43327518554
301,99911.42505583819
302,99914.87874338972
303,99912.13724482397
304,99907.580951433
305,99908.49049399316
306,99904.0028453237
307,99908.38323661579
308,99909.03965176533
309,99906.34963674072
310,99905.6674798206
311,99904.80084021139
312,99905.3113853277
313,99902.59133823743
314,99903.55236433873
315,99904.28600479999
316,99902.7886918118
317,99901.02109023262
318,99900.01716118038
319,99899.72542111392
320,99908.18159274632
321,99916.0414133605
322,99909.87196901377
323,99905.91631693611
324,99894.49126109792
325,99895.42654542865
326,99898.7858464881
327,99901.51876446366
328,99906.0107034282
329,99902.82730446766
330,99900.21451475476
331,99898.24955960122
332,99896.11299264386
333,99896.5892153994
334,99896.90669723645
335,99901.53592564404
336,99902.05505135054
337,99903.25633397716
338,99908.74791169887
339,99903.09330276355
340,99902.99891627146
341,99903.09759305864
342,99901.51018387347
343,99904.22165037355
344,99911.02176809925
345,99921.10396157269
346,99932.94946633019
347,99958.64404365461
348,99978.57675466634
349,99971.7251533995
350,99984.08549356842
351,99993.31820861303
352,99989.82590840563
353,99979.02294535624
354,99983.69507671476
355,99973.4713035032
356,99958.51533480176
357,99973.91749419308
358,99964.46168380353
359,99963.30759442296
360,99955.99264128585
361,99961.50996077812
362,99965.84744911925
363,99968.98365483375
364,99966.1391891857
365,99946.98302158619
366,99954.6497789211
367,99963.24323999653
368,99967.9754354864
369,99968.1513375853
370,99975.41909747636
371,99975.76661137906
372,99973.9003330127
373,99966.62399253146
374,99974.32936252221
375,99968.64043122614
376,99970.01761595166
377,99970.61825726497
378,99962.97724170063
379,99962.71982399494
380,99974.30362075164
381,99978.74407617505
382,99976.35867210219
383,99983.80233409215
384,99986.80983095379
385,99992.36576310192
386,99984.2785568477
387,99986.93424951156
388,99986.95999128211
389,99985.96893311516
390,99981.42551060946
391,99987.5820840709
392,99997.70718049529
393,99995.10726166767
394,99995.49767852132
395,100000.22558371609
396,99991.12157752435
397,99993.38256303946
398,99996.3128345894
399,99997.90024377457
400,99992.34431162644
401,99995.0729393069
402,99990.65822565407
403,99986.80983095379
404,99981.84166923369
405,99984.60032897982
406,99984.59174838963
407,99985.47554917922
408,99981.06941611657
409,99986.14483521406
410,99985.66432216341
411,99990.19487378381
412,99986.03328754158
413,99990.31929234156
414,99990.35361470233
415,99975.2131633118
416,99974.4280393094
417,99991.692186772
418,99976.09267380628
419,99972.43305209019
420,99972.02547405615
421,99973.22675668278
422,99992.87201792313
423,99999.60778122241
424,99998.60814246525
425,100003.73933539896
426,100008.77185154549
427,100003.13440379057
428,100005.725742028
429,100016.1769008796
430,100017.79863242553
431,100014.61094316989
432,100022.93411565434
433,100015.32313215568
434,100010.77541935489
435,100010.1704877465
436,100012.83476100053
437,100038.30624298
438,100048.29404996135
439,100103.09827950587
440,100111.81186884396
441,100122.09999648196
442,100127.8232501388
443,100132.9587333676
444,100123.34418205953
445,100116.14506688999
446,100121.76964375963
447,100121.57658048035
448,100121.28913070899
449,100120.19510545974
450,100137.33483436458
451,100147.04806245983
452,100132.8729274657
453,100128.09353872978
454,100136.30087324667
455,100137.17609344606
456,100138.16286131792
457,100144.00195294233
458,100147.31406075573
459,100132.77854097361
460,100129.96410739124
461,100125.47645872178
462,100114.02566111302
463,100119.14398316146
464,100122.19438297405
465,100120.96735857686
466,100120.54690965754
467,100112.8200881913
468,100103.61740521237
469,100109.95846136288
470,100109.28917532806
471,100103.87053262297
472,100103.31708455572
473,100096.7915457161
474,100099.15120801839
475,100089.116207791
476,100070.30755409418
477,100077.74692578905
478,100072.12234891941
479,100056.33406296952
480,100055.73771195131
481,100030.5536797432
482,100033.50540276861
483,100028.69598196703
484,100028.65307901608
485,100056.33406296952
486,100048.69733770029
487,100050.90683967425
488,100043.75491775075
489,100052.93185895913
490,100058.39340461516
491,100048.34982379759
492,100052.66586066323
493,100064.5413974864
494,100061.3108052798
495,100078.15021352799
496,100071.8606409186
497,100046.3248045127
498,100045.75848556016
499,100044.69449237657
500,100039.60191209872
501,100038.1389214713
502,100027.31450694642
503,100026.81254242029
504,100031.61767292678
505,100028.73888491798
506,100039.05704462164
507,100030.76390420286
508,100026.21619140208
509,100012.53873063897
510,100009.13652662857
511,99994.50233005927
512,99999.50910443522
513,100005.70429055252
514,99997.90453406966
515,100008.05966255971
516,100006.39931835792
517,99992.95782382504
518,99993.43404658059
519,99987.60782584148
520,99985.43264622828
521,99993.67859340101
522,100001.1050942106
523,99999.58203945184
524,99991.8552179856
525,99995.24026081563
526,99991.98392683845
527,99994.12049379581
528,100000.33713138857
529,99995.24026081563
530,100003.73504510388
531,99999.7922639115
532,100007.85372839514
533,100007.25737737693
534,100004.417202024
535,100004.82907035312
536,100011.02425647041
537,100012.83047070543
538,100007.98243724799
539,100004.7518450414
540,100003.04859788866
541,100000.30280902781
542,99999.65926476356
543,100003.29743500418
544,100007.14153940936
545,100008.99923718553
546,100008.42433764279
547,99999.1015264012
548,99989.49555568332
549,99983.57065815701
550,99998.10617793913
551,99993.19808035037
552,100005.7943867495
553,100004.1383328428
554,99999.01143020419
555,100010.419324862
556,100011.80079988262
557,100006.20196478354
558,100005.47261461738
559,100002.49944011649
560,99998.26062856255
561,100006.90128288404
562,99997.64282606886
563,99989.70148984788
564,99992.22418336378
565,99986.31215672276
566,99980.05261617905
567,99972.97362927216
568,99985.27819560486
569,99979.62358666954
570,99982.15486077563
571,99973.57427058548
572,99983.8323661578
573,99979.14736391399
574,99984.20991212617
575,99978.33649814101
576,99983.50630373058
577,100010.13187509064
578,100016.82044514385
579,100007.59631068943
580,100013.86443182336
581,99994.18055792713
582,99999.70645800959
583,100013.08788841114
584,100014.11755923396
585,100011.23448093007
586,100024.75320077466
587,100024.65023369237
588,100039.08707668731
589,100034.52220270615
590,100045.5525513956
591,100040.5843896755
592,100035.7921300543
593,100028.79036845913
594,100033.05492178362
595,100034.83968454319
596,100022.9684380151
597,100023.51759578727
598,100017.03066960351
599,100039.63194416439
600,100038.56795098081
601,100029.50255744491
602,100020.11968207198
603,100028.99630262368
604,100040.33555255998
605,100036.77031733596
606,100033.33379096481
607,100037.95014848711
608,100040.56722849511
609,100049.84713678576
610,100056.47135241257
611,100048.99765835694
612,100052.84176276212
613,100048.40988792891
614,100044.2354308014
615,100038.0488252743
616,100039.39597793415
617,100043.49320974995
618,100052.58005476133
619,100052.81602099155
620,100056.58719038013
621,100058.47921051706
622,100054.01730361818
623,100051.28438564262
624,100046.20896654513
625,100044.3169464082
626,100035.91654861205
627,100020.84903223814
628,100026.8983483222
629,100023.79646496846
630,100025.73138805633
631,100014.97561825297
632,100017.54550501493
633,100031.70776912378
634,100029.30520387054
635,100021.85725158548
636,100023.36314516385
637,100024.67168516785
638,100026.30628759907
639,100036.51289963027
640,100039.60620239381
